What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,What operating system do you use the most?,Which of our sites do you frequent most?
Netherlands,25-29,Web Application Developer,SaaS,Java,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,30-34,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Super User
United States of America,35-39,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,Linux,Other
United States of America,25-29,Server Programmer,SaaS,N/A,N/A,CSS,PHP,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Kernel / Driver Developer,Other,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,"Delphi, bash",Windows 7,Stack Overflow
Canada,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Other
Canada,20-24,IT Staff / System Administrator,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bash,Linux,Server Fault
United States of America,40-50,Manager of Developers or Team Leader,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United States of America,20-24,IT Staff / System Administrator,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Super User
United States of America,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,30-34,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Other,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C,N/A,N/A,R,Linux,Other
United Kingdom,35-39,Desktop Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,35-39,Systems Analyst,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Other,Other,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,Assembler,Windows XP,Programmers Stack Exchange
United States of America,35-39,Database Administrator,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
India,20-24,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Other,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ColdFusion,Mac OS X,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Desktop Application Developer,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,Python,Ruby,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,Python,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Germany,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Desktop Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,30-34,Manager of Developers or Team Leader,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
Other Europe,25-29,Web Application Developer,SaaS,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South America,20-24,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,Python,Ruby,N/A,N/A,C++,C,N/A,N/A,shel scripting,Linux,Stack Overflow
Middle East,25-29,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,"Assembly, Delphi",Windows 7,Stack Overflow
United States of America,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
South America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,25-29,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Windows XP,Stack Overflow
Other Europe,20-24,Student,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Student,Other,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows 7,Super User
France,25-29,Desktop Application Developer,Web Platform,N/A,N/A,CSS,N/A,Python,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
United States of America,20-24,Student,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,KRL,Linux,Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delphi,Windows Vista,Stack Overflow
United States of America,30-34,Server Programmer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Manager of Developers or Team Leader,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,20-24,Other,Enterprise,Java,N/A,CSS,PHP,Python,N/A,SQL,N/A,C++,N/A,Perl,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Server Programmer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,R,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Other,Other,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,R,Linux,Other
United States of America,25-29,Web Application Developer,SaaS,Java,N/A,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,35-39,Desktop Application Developer,Other,Java,N/A,CSS,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Italy,30-34,"Executive (VP of Eng, CTO, CIO, etc.)",Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
United States of America,40-50,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,"Executive (VP of Eng, CTO, CIO, etc.)",Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Manager of Developers or Team Leader,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Other
United States of America,40-50,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,< 20,Student,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,Windows 7,Super User
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,N/A,CSS,PHP,N/A,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Other,Other,N/A,N/A,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML,Mac OS X,None
United States of America,30-34,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,30-34,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,35-39,Server Programmer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,vb.net,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Web Platform,Java,N/A,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
Other Europe,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,C,Perl,N/A,Haskell,Linux,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,C#,N/A,C,Perl,N/A,N/A,Linux,Stack Overflow
United Kingdom,35-39,Web Application Developer,Web Platform,N/A,JavaScript,N/A,PHP,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United States of America,25-29,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Netherlands,40-50,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,Classic ASP,Windows 7,Stack Overflow
Canada,25-29,Desktop Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,N/A,Perl,N/A,N/A,Windows 7,Stack Overflow
Canada,25-29,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,Python,N/A,SQL,C#,C++,C,N/A,N/A,F#,Windows 7,Stack Overflow
United Kingdom,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,30-34,Web Application Developer,Web Platform,N/A,N/A,N/A,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,40-50,Web Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,Perl,N/A,vb,Windows 7,Stack Overflow
United Kingdom,35-39,Other,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,Matlab,Linux,Other
United Kingdom,35-39,Other,Mobile,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,Objective-C,Mac OS X,Stack Overflow
Other Europe,25-29,Other,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Canada,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
France,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,30-34,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Programmers Stack Exchange
Canada,30-34,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,< 20,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Programmers Stack Exchange
Canada,25-29,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,40-50,Manager of Developers or Team Leader,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,25-29,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,SaaS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,N/A,Windows XP,N/A
United States of America,30-34,Web Application Developer,Enterprise,N/A,JavaScript,N/A,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ColdFusion,Windows XP,Stack Overflow
United Kingdom,20-24,IT Staff / System Administrator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,30-34,Database Administrator,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,PL/SQL,Windows 7,Stack Overflow
United Kingdom,35-39,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
United States of America,30-34,IT Manager,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Server Fault
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,40-50,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delphi,Windows 7,Stack Overflow
Other Europe,25-29,Embedded Application Developer,Other,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Stack Overflow
Netherlands,25-29,Other,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Super User
United States of America,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,< 20,Web Application Developer,Other,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Meta Stack Overflow
Canada,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,J,Windows Vista,Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,"MATLAB, IDL",Windows XP,Stack Overflow
South America,20-24,Other,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML,Mac OS X,Stack Overflow
Middle East,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,20-24,Student,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,40-50,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows XP,N/A
United States of America,51-60,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Asia,20-24,"Executive (VP of Eng, CTO, CIO, etc.)",Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Desktop Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,Obj-c,Mac OS X,Stack Overflow
United Kingdom,30-34,Desktop Application Developer,Mobile,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,objective-c,Mac OS X,Stack Overflow
Canada,20-24,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,20-24,Student,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Java,Linux,Stack Overflow
United Kingdom,35-39,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Programmers Stack Exchange
United Kingdom,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,VB.Net,Windows 7,Stack Overflow
Russia,40-50,Manager of Developers or Team Leader,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Canada,< 20,Student,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Desktop Application Developer,Other,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,C#,N/A,N/A,N/A,N/A,"VB.NET, Vala, Java",Linux,Stack Overflow
Italy,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,30-34,Manager of Developers or Team Leader,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,PHP,Python,N/A,SQL,N/A,N/A,C,Perl,N/A,Klingon,Linux,Stack Overflow
United Kingdom,40-50,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
France,40-50,Other,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,N/A,Perl,N/A,N/A,Mac OS X,Stack Overflow
France,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United Kingdom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,lua,Linux,Stack Overflow
United States of America,20-24,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,< 20,Student,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,35-39,Web Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
United Kingdom,< 20,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
